"StudyID","Author_Year","Indicator","Soil_layer","Soil_layer_export","Mean_E_std","Mean_C_std","n_E","n_C","SD_E_imp","SD_C_imp","yi","vi","sei","wi"
1,"李雨欣_2025","SOC","0-10","0_10",14.57,11.39,3,3,0.8785698509412149,0.6868161017309841,0.2462288427480227,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",14.24,11.39,3,3,0.8586708769665683,0.6868161017309841,0.22331912852473884,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",17.43,11.39,3,3,1.051027625388152,0.6868161017309841,0.42545708207283867,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",17,11.39,3,3,1.0250986592999762,0.6868161017309841,0.40047756659712525,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",15.19,11.39,3,3,0.9159558020450964,0.6868161017309841,0.2879015391485906,0.002424053659281681,0.04923467943717803,412.53212203905156
2,"徐春燕_2025","SOC","0-10","0_10",7.99,5.22,4,4,0.79,1.01,0.425693357883636,0.011803261929414294,0.10864281812165172,84.72234251685562
2,"徐春燕_2025","SOC","0-10","0_10",7.48,5.22,4,4,0.24,1.01,0.3597353900918386,0.00961663594531334,0.09806444791724134,103.98646737660368
2,"徐春燕_2025","SOC","0-10","0_10",7.76,6.22,4,4,0.42,0.93,0.2212124274440393,0.006321228555835924,0.0795061542010172,158.1970958915532
2,"徐春燕_2025","SOC","0-10","0_10",7.58,6.22,4,4,0.02,0.93,0.19774329290319223,0.0055906249736764595,0.07477048196766194,178.87087842745933
2,"徐春燕_2025","SOC","0-10","0_10",10.39,8.18,4,4,0.73,0.56,0.23915165449648046,0.0024057933495734247,0.04904888734286869,415.6632988354181
2,"徐春燕_2025","SOC","0-10","0_10",10.04,8.18,4,4,0.77,0.56,0.20488496364892744,0.0026421439535910924,0.05140178940067255,378.4805133879407
3,"徐洪胜_2024","SOC","0-10","0_10",15.97,15.66,3,3,0.9629897405306248,0.944296764978684,0.01960227166426404,0.002424053659281681,0.04923467943717803,412.53212203905156
3,"徐洪胜_2024","SOC","0-10","0_10",16.75,15.66,3,3,1.010023679016153,0.944296764978684,0.06728856770841839,0.002424053659281681,0.04923467943717803,412.53212203905156
3,"徐洪胜_2024","SOC","0-10","0_10",16.86,15.66,3,3,1.0166566703410351,0.944296764978684,0.07383426201105234,0.002424053659281681,0.04923467943717803,412.53212203905156
3,"徐洪胜_2024","SOC","0-10","0_10",17.58,15.66,3,3,1.0600726135584455,0.944296764978684,0.11565220169437383,0.0024240536592816803,0.04923467943717802,412.5321220390517
4,"高鹏_2024","SOC","0-10","0_10",27.14,27.14,3,3,2.09,0.9,0,0.0023433086299611515,0.04840773316280315,426.74703076418
4,"高鹏_2024","SOC","0-10","0_10",30.55,27.14,3,3,2.41,0.9,0.11835603121088124,0.00244094911827325,0.049405962375742164,409.67670834015956
4,"高鹏_2024","SOC","0-10","0_10",33.12,27.14,3,3,1.03,0.9,0.19912867511033575,6.889424621862521e-4,0.026247713465866927,1451.5000234223553
5,"张钰钦_2024","SOC","0-10","0_10",12.24,10.92,3,3,0.7380710346959828,0.6584751387973964,0.11411330676742105,0.0024240536592816803,0.04923467943717802,412.5321220390517
5,"张钰钦_2024","SOC","0-10","0_10",13.51,10.92,3,3,0.8146519345378046,0.6584751387973964,0.21283418165534854,0.0024240536592816803,0.04923467943717802,412.5321220390517
6,"何苏南_2024","SOC","0-10","0_10",7.98,7.82,3,3,0.48119337065963586,0.47154538327798906,0.020253856904497596,0.0024240536592816807,0.049234679437178026,412.5321220390516
6,"何苏南_2024","SOC","0-10","0_10",8.26,7.82,3,3,0.4980773485775178,0.47154538327798906,0.05474003297566685,0.0024240536592816803,0.04923467943717802,412.5321220390517
6,"何苏南_2024","SOC","0-10","0_10",8.38,7.82,3,3,0.505313339113753,0.47154538327798906,0.06916335993677207,0.0024240536592816803,0.04923467943717802,412.5321220390517
6,"何苏南_2024","SOC","0-10","0_10",7.47,7.82,3,3,0.4504404108806366,0.47154538327798906,-0.045789555412493826,0.0024240536592816807,0.049234679437178026,412.5321220390516
8,"王燕_2023","SOC","0-10","0_10",10.986078886310906,10.27262180974478,3,3,0.6624596904306521,0.6194382849802982,0.06714663596319,0.0024240536592816807,0.049234679437178026,412.5321220390516
8,"王燕_2023","SOC","0-10","0_10",11.27030162412993,10.359628770301624,3,3,0.6795982991059961,0.6246847978400973,0.08425468794099569,0.0024240536592816803,0.04923467943717802,412.5321220390517
8,"王燕_2023","SOC","0-10","0_10",12.546403712296984,10.27262180974478,3,3,0.7565471543830519,0.6194382849802982,0.1999517881702251,0.0024240536592816803,0.04923467943717802,412.5321220390517
8,"王燕_2023","SOC","0-10","0_10",13.18445475638051,10.359628770301624,3,3,0.7950215820215797,0.6246847978400973,0.2411220624160989,0.0024240536592816803,0.04923467943717802,412.5321220390517
9,"余守保_2023","SOC","0-10","0_10",14.605568445475638,14.147331786542924,3,3,0.8807146253983008,0.8530829910033582,0.0318768163883722,0.0024240536592816807,0.049234679437178026,412.5321220390516
9,"余守保_2023","SOC","0-10","0_10",14.70417633410673,14.147331786542924,3,3,0.8866606733060733,0.8530829910033582,0.03860551780936338,0.0024240536592816807,0.049234679437178026,412.5321220390516
9,"余守保_2023","SOC","0-10","0_10",15.127610208816703,14.147331786542924,3,3,0.9121937025570962,0.8530829910033582,0.06699552483062303,0.0024240536592816807,0.049234679437178026,412.5321220390516
9,"余守保_2023","SOC","0-10","0_10",15.208816705336426,14.147331786542924,3,3,0.9170904478929088,0.8530829910033582,0.07234926610772476,0.0024240536592816807,0.049234679437178026,412.5321220390516
10,"李磊_2023","SOC","0-10","0_10",5.481438515081206,4.9361948955916475,3,3,0.33053031016735274,0.2976521629126108,0.10477279892036855,0.002424053659281681,0.04923467943717803,412.53212203905156
10,"李磊_2023","SOC","0-10","0_10",5.255220417633411,4.9361948955916475,3,3,0.31688937673187473,0.2976521629126108,0.06262717746960522,0.002424053659281681,0.04923467943717803,412.53212203905156
10,"李磊_2023","SOC","0-10","0_10",5.359628770301624,4.9361948955916475,3,3,0.3231851921636338,0.2976521629126108,0.08229994306830991,0.0024240536592816807,0.049234679437178026,412.5321220390516
10,"李磊_2023","SOC","0-10","0_10",5.040603248259861,4.9361948955916475,3,3,0.3039479783443699,0.2976521629126108,0.02093099669201775,0.002424053659281681,0.04923467943717803,412.53212203905156
11,"李伟欣_2023","SOC","0-10","0_10",5.516241299303944,4.53016241299304,3,3,0.3326289153112724,0.27316843623354764,0.19693891270570432,0.0024240536592816803,0.04923467943717802,412.5321220390517
11,"李伟欣_2023","SOC","0-10","0_10",6.4675174013921115,4.53016241299304,3,3,0.3899907892450776,0.27316843623354764,0.35603453405453317,0.0024240536592816803,0.04923467943717802,412.5321220390517
12,"谢丽华_2022","SOC","0-10","0_10",9.292382338670544,9.521033478893685,3,3,0.5100679281901428,0.3341824357108676,-0.024308440476536238,0.001414995366785784,0.037616424162668416,706.7160949590515
12,"谢丽华_2022","SOC","0-10","0_10",11.737190684133884,9.521033478893685,3,3,1.020135856380403,0.3341824357108676,0.20925908977917132,0.002928717828321244,0.054117629551942166,341.44634567721573
12,"谢丽华_2022","SOC","0-10","0_10",12.8628578360019,9.521033478893685,3,3,1.3367297428432974,0.3341824357108676,0.300840519252002,0.00401056055401106,0.06332898668075354,249.34170336859157
12,"谢丽华_2022","SOC","0-10","0_10",13.970936438622,9.521033478893685,3,3,1.8292091217855244,0.3341824357108676,0.38347580151703764,0.006124842381326103,0.07826137221724458,163.2695076446176
12,"谢丽华_2022","SOC","0-10","0_10",9.204439592430848,8.799902959728257,3,3,0.45730228044633736,0.49247937894228594,0.04494523793314651,0.0018667899453972542,0.0432063646399145,535.6789083129539
12,"谢丽华_2022","SOC","0-10","0_10",10.68187772925759,8.799902959728257,3,3,2.4799854439592863,0.49247937894228594,0.1938079413044542,0.019011254581735363,0.13788130613587674,52.60042127681187
12,"谢丽华_2022","SOC","0-10","0_10",10.646700630761757,8.799902959728257,3,3,1.1784327996118222,0.49247937894228594,0.1905093501092968,0.005127738657503136,0.07160823037544732,195.01773916202913
12,"谢丽华_2022","SOC","0-10","0_10",11.631659388646272,8.799902959728257,3,3,0.38694808345461634,0.49247937894228594,0.27898994397361515,0.0014128899115881523,0.0375884278946081,707.7692266030513
12,"谢丽华_2022","SOC","10-20","10_20",8.817491508976174,8.448131974769474,3,3,0.4573022804463961,0.2638282387190879,0.042792071298225175,0.0012216803122107017,0.03495254371588285,818.5447453028377
12,"谢丽华_2022","SOC","10-20","10_20",11.684425036390078,8.448131974769474,3,3,0.562833575934009,0.2638282387190879,0.3243114126523218,0.0010985226412543695,0.03314396839930864,910.3135087485593
12,"谢丽华_2022","SOC","10-20","10_20",11.191945657447793,8.448131974769474,3,3,0.7035419699175107,0.2638282387190879,0.2812490330142856,0.0016422746785743447,0.04052498832293903,608.9115377873925
12,"谢丽华_2022","SOC","10-20","10_20",11.104002911208095,8.448131974769474,3,3,2.040271712760808,0.2638282387190879,0.2733603170856206,0.011578794869187973,0.1076048087642368,86.36477382124401
13,"王文军_2022","SOC","0-10","0_10",12.064,11.194895591647333,3,3,0.7274582485761713,0.6750513212941702,0.07476788759626177,0.0024240536592816807,0.049234679437178026,412.5321220390516
13,"王文军_2022","SOC","0-10","0_10",12.296,11.194895591647333,3,3,0.7414478302795592,0.6750513212941702,0.093816082566956,0.0024240536592816807,0.049234679437178026,412.5321220390516
13,"王文军_2022","SOC","0-10","0_10",13.688,11.194895591647333,3,3,0.8253853204998867,0.6750513212941702,0.20106161292055377,0.002424053659281681,0.04923467943717803,412.53212203905156
13,"王文军_2022","SOC","0-10","0_10",14.035999999999998,11.194895591647333,3,3,0.8463696930549685,0.6750513212941702,0.22616753405162995,0.002424053659281681,0.04923467943717803,412.53212203905156
13,"王文军_2022","SOC","0-10","0_10",14.615999999999998,11.194895591647333,3,3,0.8813436473134382,0.6750513212941702,0.2666588954063669,0.002424053659281681,0.04923467943717803,412.53212203905156
14,"陈学_2022","SOC","0-10","0_10",18.014799999999997,9.2104,3,3,1.0208,0.4988,0.6708603619015513,0.0020479195823832593,0.04525394548968365,488.3004238068047
14,"陈学_2022","SOC","0-10","0_10",10.2254,9.2104,3,3,1.3223999999999998,0.4988,0.10454154059078916,0.006552616726988241,0.08094823486023794,152.61078766919226
14,"陈学_2022","SOC","0-10","0_10",11.0258,9.2104,3,3,1.2528,0.4988,0.17990470068134823,0.0052811323428071716,0.0726713997581385,189.35333089351303
14,"陈学_2022","SOC","0-10","0_10",14.9118,9.2104,3,3,1.3514,0.4988,0.4818195654588084,0.00371533394016765,0.06095353919312356,269.15480979749464
14,"陈学_2022","SOC",">20",">20",8.334599999999998,7.029599999999999,3,3,1.6414,1.2006,0.17028571944976512,0.022651511976398704,0.15050419255422323,44.14716337884774
14,"陈学_2022","SOC",">20",">20",6.983199999999999,7.029599999999999,3,3,0.6785999999999999,1.2006,-0.006622540760493494,0.012871041597558676,0.1134506130329787,77.6937897698719
14,"陈学_2022","SOC",">20",">20",8.3578,7.029599999999999,3,3,0.6438,1.2006,0.1730654293702624,0.01170117687682027,0.10817197824215044,85.46148909012514
14,"陈学_2022","SOC",">20",">20",8.5898,7.029599999999999,3,3,0.9511999999999998,1.2006,0.20044564763853906,0.013810797874496527,0.11751935106396957,72.40711283210022
15,"刘芳君_2022","SOC","0-10","0_10",33.581999999999994,31.493999999999996,3,3,0.696,0.406,0.06419315763905965,1.9857616422218064e-4,0.014091705511476623,5035.851125017862
15,"刘芳君_2022","SOC","0-10","0_10",33.465999999999994,31.493999999999996,3,3,1.16,0.406,0.060732946574163976,4.558813759299013e-4,0.02135137878287726,2193.553088147574
15,"刘芳君_2022","SOC","0-10","0_10",33.407999999999994,31.493999999999996,3,3,0.696,0.406,0.05899834076195576,2.0007151259345186e-4,0.014144663749748591,4998.212824191589
15,"刘芳君_2022","SOC","0-10","0_10",32.653999999999996,31.493999999999996,3,3,0.696,0.406,0.036170308205754856,2.0682995406623054e-4,0.014381583851100355,4834.88962957359
15,"刘芳君_2022","SOC","0-10","0_10",30.565999999999995,31.493999999999996,3,3,0.406,0.406,-0.029908771392573148,1.1420591376096351e-4,0.010686716696954379,8756.1139968025709
15,"刘芳君_2022","SOC","0-10","0_10",31.436,31.493999999999996,3,3,0.638,0.406,-0.0018433184942891127,1.9269400762221515e-4,0.01388142671421836,5189.574976096521
15,"刘芳君_2022","SOC","0-10","0_10",31.784,31.493999999999996,3,3,0.464,0.406,0.009165967014080182,1.264347114655084e-4,0.01124431907522676,7909.220406397667
15,"刘芳君_2022","SOC","0-10","0_10",31.552,31.493999999999996,3,3,0.638,0.406,0.0018399269220072951,1.9168631619463086e-4,0.013845082744232006,5216.856475997164
15,"刘芳君_2022","SOC","0-10","0_10",32.248,31.493999999999996,3,3,0.406,0.406,0.023658974316646986,1.08231016165654e-4,0.010403413678483327,9239.49562174895
15,"刘芳君_2022","SOC","0-10","0_10",30.565999999999995,31.493999999999996,3,3,0.348,0.406,-0.029908771392573148,9.860317391984739e-5,0.009929913087225255,10141.661370990761
15,"刘芳君_2022","SOC","0-10","0_10",31.378,31.493999999999996,3,3,0.406,0.406,-0.0036900410874537957,1.1120150961207415e-4,0.010545212639490688,8992.683673886213
15,"刘芳君_2022","SOC","0-10","0_10",33.117999999999995,31.493999999999996,3,3,0.232,0.406,0.05027988972207465,7.175344759094758e-5,0.008470740675463249,13936.612575061272
15,"刘芳君_2022","SOC",">20",">20",16.703999999999997,14.615999999999998,3,3,0.232,0.348,0.13353139262452257,2.532648862013942e-4,0.015914298168671914,3948.435233160621
15,"刘芳君_2022","SOC",">20",">20",16.413999999999998,14.615999999999998,3,3,0.58,0.348,0.11601781013181432,6.05168114795797e-4,0.02460016493432101,1652.4333909056525
15,"刘芳君_2022","SOC",">20",">20",16.529999999999998,14.615999999999998,3,3,0.5219999999999999,0.348,0.12306009275722721,5.213744469779294e-4,0.02283362535774662,1918.0073089434159
15,"刘芳君_2022","SOC",">20",">20",15.95,14.615999999999998,3,3,1.218,0.348,0.0873420101551481,0.0021327661275713223,0.046181880944492965,468.8746633175131
15,"刘芳君_2022","SOC",">20",">20",14.673999999999998,14.615999999999998,3,3,0.812,0.348,0.003960401216096914,0.0012096542735091336,0.03478008443792415,826.6824843259229
15,"刘芳君_2022","SOC",">20",">20",14.499999999999998,14.615999999999998,3,3,0.406,0.348,-0.007968169649176845,4.5029780801209387e-4,0.021220221676789663,2220.7525380028997
15,"刘芳君_2022","SOC",">20",">20",16.24,14.615999999999998,3,3,2.61,0.348,0.10536051565782635,0.008798658352229781,0.09380116391724455,113.65369127516779
15,"刘芳君_2022","SOC",">20",">20",16.762,14.615999999999998,3,3,1.45,0.348,0.136997600601009,0.0026833471249503487,0.05180103401429694,372.66889203479536
15,"刘芳君_2022","SOC",">20",">20",13.514,14.615999999999998,3,3,2.7259999999999995,0.348,-0.0783906339457227,0.013752178631014909,0.1172696833414967,72.71575121520947
15,"刘芳君_2022","SOC",">20",">20",14.615999999999998,14.615999999999998,3,3,1.276,0.348,0,0.0027294868564709846,0.05224449115907805,366.3692307692306
15,"刘芳君_2022","SOC",">20",">20",13.514,14.615999999999998,3,3,1.16,0.348,-0.0783906339457227,0.002644956173426819,0.05142913739726556,378.07809824855997
15,"刘芳君_2022","SOC",">20",">20",14.094,14.615999999999998,3,3,0.348,0.348,-0.036367644170874715,3.921855283799239e-4,0.019803674618108728,2549.8136153337737
